Basketball Matches (live) - 2025-10-24 17:27:54
============================================================

Ventspils vs Latvijas Universitate
  2: 2.42 @ AUTO
  H1: 2.07 @ AUTO
  Handicap: 1.93 @ AUTO
  H2: 1.95 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Crvena Zvezda vs Mega
  1: 1.07 @ AUTO
  2: 11.0 @ AUTO
  H1: 1.86 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.88 @ AUTO
  Under: 173.5 @ AUTO
  Handicap2: 1.93 @ AUTO

Varese vs Trento
  1: 2.45 @ AUTO
  2: 1.58 @ AUTO
  H1: 1.83 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 2.0 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 172.5 @ AUTO
  Over: 1.95 @ AUTO

Heidelberg vs Wurzburg
  1: 2.6 @ AUTO
  2: 1.52 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 5.5 @ AUTO
  H2: 2.05 @ AUTO
  Under: 1.93 @ AUTO
  Handicap2: 164.5 @ AUTO
  Over: 1.87 @ AUTO

Nanterre vs Asvel
  1: 2.64 @ AUTO
  2: 1.51 @ AUTO
  H1: 1.91 @ AUTO
  Handicap: 5.5 @ AUTO
  H2: 2.0 @ AUTO
  Under: 1.93 @ AUTO
  Handicap2: 170.5 @ AUTO
  Over: 1.85 @ AUTO

Derthona Basket vs Trapani
  1: 1.83 @ AUTO
  2: 2.04 @ AUTO
  H1: 1.95 @ AUTO
  Handicap: 1.86 @ AUTO
  H2: 1.88 @ AUTO
  Under: 172.5 @ AUTO
  Handicap2: 1.95 @ AUTO

Sydney vs Tasmania Jackjumpers
  1: 1.48 @ AUTO
  2: 2.55 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.9 @ AUTO
  Under: 173.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Mykonos vs Olympiacos
  1: 13.0 @ AUTO
  2: 1.02 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 21.5 @ AUTO
  H2: 1.83 @ AUTO
  Under: 1.92 @ AUTO
  Handicap2: 164.5 @ AUTO
  Over: 1.88 @ AUTO

Krka vs Dubai
  1: 5.2 @ AUTO
  2: 1.2 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 8.5 @ AUTO
  H2: 1.78 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 168.5 @ AUTO
  Over: 1.9 @ AUTO

Panathinaikos vs Promitheas
  1: 1.02 @ AUTO
  2: 13.0 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.77 @ AUTO
  H2: 1.87 @ AUTO
  Under: 167.5 @ AUTO
  Handicap2: 1.95 @ AUTO

Bamberg vs BV Chemnitz 99Ers
  1: 1.68 @ AUTO
  2: 2.23 @ AUTO
  H1: 1.92 @ AUTO
  Handicap: 1.92 @ AUTO
  H2: 1.92 @ AUTO
  Under: 174.5 @ AUTO
  Handicap2: 1.92 @ AUTO

Frankfurt vs Syntainics MBC
  1: 2.18 @ AUTO
  2: 1.65 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 3.5 @ AUTO
  H2: 2.0 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 171.5 @ AUTO
  Over: 1.9 @ AUTO

